Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2008-07,19,3,10,41,2,52,31,5,40,0,21,31,10,1,13,5,39,5,37,0,0,0,15,0
2008-08,17,3,9,28,1,50,23,5,30,0,20,16,10,1,7,3,27,4,25,0,0,0,13,0
2008-09,15,2,9,27,2,45,22,6,29,0,15,14,11,1,8,3,28,4,21,0,0,0,14,0
2008-10,16,3,12,24,2,44,30,5,40,0,31,16,9,1,12,4,26,5,35,20,0,0,16,0
2008-11,17,3,9,32,2,43,27,5,35,0,43,20,11,1,13,4,31,4,31,0,0,0,18,0
2008-12,16,2,10,32,2,46,27,5,29,0,29,14,0,1,11,3,18,5,26,0,0,0,19,0
2009-01,16,2,9,30,1,48,19,6,38,0,24,28,13,1,13,4,27,5,27,16,0,0,15,0
2009-02,15,3,10,26,1,47,22,7,37,0,20,20,0,1,10,3,25,5,32,24,3,0,16,0
2009-03,16,3,9,29,2,47,29,5,33,0,15,14,13,1,10,4,27,5,26,19,0,0,19,0
2009-04,18,3,9,29,2,45,28,6,33,0,36,25,0,1,8,4,19,5,33,0,0,0,19,0
2009-05,16,3,10,32,2,47,35,5,33,0,26,20,12,1,8,3,31,5,35,22,0,0,17,0
2009-06,18,3,9,32,2,50,17,6,31,0,30,44,9,1,11,3,33,5,19,18,0,0,15,0
2009-07,18,2,10,35,1,48,13,8,29,0,31,23,18,1,9,3,25,7,30,0,0,0,17,0
2009-08,27,3,11,31,2,46,20,8,31,0,34,29,15,1,11,3,26,8,33,0,0,0,18,0
2009-09,28,2,10,41,1,45,16,7,32,0,31,21,9,1,10,3,30,5,48,15,0,0,18,0
2009-10,57,3,13,36,2,43,27,6,33,0,38,46,12,1,11,3,48,8,50,0,0,0,24,0
2009-11,100,3,10,30,2,40,16,6,28,0,31,80,11,1,10,3,53,8,50,46,2,10,26,0
2009-12,25,2,14,36,2,40,23,7,31,0,41,51,17,1,10,3,38,7,35,16,0,0,19,0
2010-01,29,2,10,33,1,41,12,7,26,0,29,30,18,1,9,3,26,6,28,13,3,9,19,0
2010-02,27,2,11,31,1,43,16,7,29,0,24,34,10,1,8,2,25,6,31,13,2,0,18,0
2010-03,56,2,11,26,1,45,25,9,31,0,30,27,13,1,9,3,28,6,42,13,0,0,19,0
2010-04,52,2,11,41,6,45,15,8,31,0,30,37,15,1,9,3,34,5,47,12,2,0,23,0
2010-05,42,3,14,36,2,50,18,7,35,0,28,43,16,1,8,3,31,6,51,18,0,14,21,0
2010-06,36,2,12,28,1,49,16,8,26,0,27,38,21,1,7,2,27,6,29,13,0,0,15,0
2010-07,38,2,12,32,2,49,20,9,59,0,33,52,22,2,19,3,29,7,44,14,0,0,14,0
2010-08,31,2,12,28,1,49,12,12,37,0,25,39,18,1,7,3,31,6,31,0,0,12,15,0
2010-09,24,2,11,29,2,43,11,11,34,0,33,66,26,1,6,4,33,6,34,11,3,16,18,0
2010-10,36,2,12,42,2,41,16,9,75,0,49,93,29,5,15,7,34,7,63,17,0,13,21,0
2010-11,28,2,13,31,1,41,16,9,32,0,37,51,23,1,6,3,47,8,39,0,0,10,24,0
2010-12,44,2,12,51,1,43,14,10,34,0,43,90,20,1,6,3,29,6,42,16,2,0,34,0
2011-01,33,2,13,38,1,53,17,3,34,0,35,85,21,1,6,3,37,8,49,11,2,8,22,0
2011-02,26,2,12,34,2,54,15,3,55,0,37,60,19,2,12,4,31,11,44,15,5,8,27,0
2011-03,28,3,13,36,2,54,16,3,38,0,26,54,22,2,8,4,35,11,54,13,3,8,84,0
2011-04,24,3,14,43,2,62,9,3,44,0,37,58,31,2,9,4,38,9,75,24,0,8,100,0
2011-05,27,5,19,29,2,61,16,2,31,0,33,44,15,1,7,3,28,8,56,13,0,13,66,0
2011-06,23,3,16,31,1,63,8,2,31,0,23,39,20,1,7,3,37,9,44,20,0,10,53,0
2011-07,23,3,15,32,1,62,10,3,34,0,27,44,23,1,6,3,36,9,47,18,0,9,38,0
2011-08,22,3,14,38,2,62,11,3,38,0,27,46,26,2,6,3,33,9,49,22,0,12,33,0
2011-09,22,3,15,33,2,55,10,3,36,0,35,35,21,1,6,3,29,7,43,23,0,9,31,0
2011-10,20,2,17,26,2,51,24,3,29,0,20,34,24,1,5,3,31,8,41,16,0,12,29,0
2011-11,17,2,18,24,1,50,16,3,28,0,20,30,15,1,5,3,26,7,43,16,0,12,28,0
2011-12,20,3,34,64,1,51,15,2,33,0,24,29,20,1,6,3,28,9,43,37,1,7,28,0
2012-01,22,2,20,37,2,53,13,3,31,0,24,29,20,1,4,2,31,9,43,20,2,8,28,0
2012-02,19,2,18,22,2,54,16,3,30,0,17,30,18,1,4,2,26,8,38,19,4,11,26,0
2012-03,20,2,23,32,1,54,9,3,28,0,22,26,23,1,4,3,54,9,33,24,1,12,25,0
2012-04,20,2,29,57,1,55,10,3,30,0,23,25,23,1,5,3,37,9,40,26,1,13,27,0
2012-05,24,2,100,37,1,60,10,3,28,0,22,27,24,1,4,3,30,10,42,20,0,13,27,0
2012-06,20,2,74,26,1,59,14,3,36,0,23,24,28,1,6,3,39,21,46,29,1,13,31,0
2012-07,22,2,33,26,1,63,12,3,34,0,30,31,30,1,5,4,37,11,41,18,0,11,24,0
2012-08,18,2,23,34,1,57,12,3,28,0,25,27,23,1,4,3,28,8,36,13,0,9,24,0
2012-09,20,2,27,29,2,52,12,3,26,0,28,21,26,1,4,3,39,8,38,15,0,11,26,0
2012-10,24,2,20,22,1,54,10,3,28,0,24,19,22,1,4,2,29,10,33,12,1,5,25,0
2012-11,22,2,26,31,1,49,10,3,32,0,26,21,21,1,5,3,26,8,41,18,0,8,23,0
2012-12,20,2,42,38,2,53,11,2,29,0,25,21,20,1,4,3,28,8,45,32,1,11,26,0
2013-01,17,2,21,27,2,54,29,3,24,0,20,19,19,1,4,2,31,8,34,58,1,9,29,0
2013-02,26,2,19,19,2,58,16,3,22,0,26,18,25,1,4,2,30,10,32,32,2,10,43,0
2013-03,24,2,23,19,2,57,7,3,24,0,25,23,27,1,4,2,35,9,36,26,1,12,33,0
2013-04,20,2,22,20,2,52,8,3,21,0,23,32,32,1,4,2,33,9,34,21,0,8,31,0
2013-05,25,2,19,21,2,59,8,3,24,0,27,43,27,1,3,2,36,8,36,16,2,5,28,0
2013-06,27,2,19,20,1,63,8,3,24,0,20,67,25,1,4,2,36,10,36,19,1,12,25,0
2013-07,30,2,21,18,1,100,6,3,43,0,16,35,26,1,4,2,33,10,39,20,1,12,25,0
2013-08,22,5,18,20,2,64,4,3,25,0,23,26,23,1,4,2,33,9,33,18,1,5,22,0
2013-09,18,2,18,16,2,52,9,3,24,0,19,18,22,1,3,2,30,8,29,20,0,9,23,0
2013-10,21,2,17,18,2,53,7,3,25,0,23,19,20,1,3,2,32,8,35,20,1,8,23,0
2013-11,28,3,20,16,2,53,7,3,22,0,22,13,22,1,3,2,28,8,32,17,0,7,28,0
2013-12,22,2,18,15,1,52,4,2,21,0,18,15,18,1,4,2,25,9,33,17,1,8,25,0
2014-01,24,2,15,23,2,64,10,3,25,0,20,18,24,1,4,2,23,9,48,28,1,9,25,0
2014-02,19,2,16,25,1,55,6,4,22,0,24,17,24,1,6,2,24,9,37,11,3,8,26,0
2014-03,40,2,17,22,2,55,7,4,28,0,31,19,22,1,7,2,29,8,44,24,1,10,28,0
