Category: All categories

Month,UFO: (United States),UFO sighting: (United States),UFOs: (United States),unidentified flying object: (United States)
2023-05,23,1,2,<1
2023-06,58,2,5,<1
2023-07,64,1,8,<1
2023-08,34,1,4,<1
2023-09,27,1,3,<1
2023-10,22,1,3,<1
2023-11,18,<1,2,<1
2023-12,18,<1,2,0
2024-01,24,1,2,<1
2024-02,17,<1,2,<1
2024-03,16,<1,2,<1
2024-04,19,<1,2,<1
2024-05,17,<1,2,<1
2024-06,18,<1,2,<1
2024-07,17,<1,2,<1
2024-08,17,1,2,<1
2024-09,20,<1,2,<1
2024-10,21,1,2,<1
2024-11,29,1,3,<1
2024-12,37,1,6,<1
2025-01,23,<1,3,<1
2025-02,21,<1,2,<1
2025-03,15,<1,2,<1
2025-04,16,<1,1,<1
2025-05,17,<1,2,<1
